id,usuario_id,fecha,edad,sexo,estado_civil,salud_y_bienestar,relaciones,carrera_y_proposito,finanzas,desarrollo_personal,diversion_y_ocio,espiritualidad,entorno_fisico
1,27,2024-10-31 15:45:12.916210,56,masculino,divorciado,6.358338127207816,7.804733575614685,6.967068678497169,7.685167226748852,8.190298159045627,7.706193908536852,3.9162017512229044,7.803262940591061
2,5,2025-02-06 15:45:12.916410,69,masculino,union libre,2.5041414668855957,4.5394268327883385,5.322487583403574,6.890082004282542,3.5387114850309698,3.8015475817482196,6.277782091873546,5.454135408079058
3,1,2024-12-02 15:45:12.916430,46,masculino,casado,3.899128426836883,6.321244511720005,5.500422281212961,4.322636739720608,4.095770569498569,4.801383100226074,8.134615733277904,6.640857289735026
4,17,2024-10-22 15:45:12.916436,32,masculino,divorciado,9.996478607375149,7.84354742549908,8.625857168759802,7.945595581565894,6.845667443894132,7.984560604171378,5.686218165903517,6.837238851673456
5,19,2024-12-06 15:45:12.916441,60,masculino,soltero,4.207036629572659,5.607760398001709,3.4243440915132326,1.7448848095114422,5.4765050340053065,5.22592362479514,3.435808629455063,8.20792048699412
6,14,2025-01-16 15:45:12.916445,25,femenino,soltero,4.126502140514312,6.825207622309426,3.106198639992538,2.5011355640006347,6.1849241820647185,4.076382964839061,3.7699639773204074,6.441476483759628
7,12,2024-12-09 15:45:12.916450,38,masculino,soltero,6.49456876638834,5.862908107226391,5.873723605568579,6.635642592004245,5.6752163349784395,3.9652313264636794,4.503474198429769,6.301703886470536
8,10,2024-12-18 15:45:12.916454,56,femenino,soltero,5.261361506548979,5.236639475808953,5.89358367961992,6.1062394420029396,6.837538225542487,6.559539214383674,3.8102194058608685,7.1844515930077435
9,20,2024-04-26 15:45:12.916458,36,femenino,union libre,8.634116588458806,8.485800784801961,8.32084855213431,9.188697588797492,8.667348285309492,10.0,3.0176393807799005,10.0
10,21,2024-07-21 15:45:12.916464,40,femenino,soltero,7.011013896668912,4.550047870389949,2.5207000558118384,1.5841860383151016,5.658689541507263,5.106501824803741,5.3088145539233835,4.8259974544740585
11,18,2024-08-17 15:45:12.916468,28,masculino,divorciado,3.7766212519784004,5.463054488856201,4.725774984774136,3.8502499579622698,4.9962963427792655,3.9520423272785132,4.557605336548402,6.662096446502025
12,24,2024-12-10 15:45:12.916473,28,masculino,viudo,5.303169691313556,5.559548074475108,4.5843485731378095,4.788958782662722,4.541470430726984,6.691760812757739,5.379441767116116,6.692533060054615
13,27,2024-12-23 15:45:12.916477,41,masculino,soltero,5.582765022017636,2.402688366578284,4.6333708294678,4.030723024162485,5.56096785072405,6.812926335474782,7.372774824430576,8.049416708194032
14,11,2024-10-30 15:45:12.916481,53,masculino,union libre,6.088728792630986,7.12520241575697,3.6599249763338135,4.9617741444939085,7.427109009157079,6.92478984379051,4.527294332151281,6.769426895706983
15,2,2024-04-17 15:45:12.916485,57,femenino,union libre,1.5720405813960623,2.9947810643972446,3.4696743655768563,2.842255481199379,3.148400633092381,1.0,2.6291599906393777,2.959266576466883
16,25,2024-04-28 15:45:12.916490,41,masculino,soltero,6.908356454503541,8.031864164549859,6.313283672593553,5.817894429662306,5.496332241744718,7.637899221139355,4.202215015492897,4.912376670507663
17,18,2024-09-19 15:45:12.916494,20,masculino,viudo,7.001738413418956,5.124813226079686,6.842269305506805,7.261108719375292,7.089501081066221,6.783634515045014,6.540850434233285,6.059265758108011
18,29,2024-05-26 15:45:12.916498,39,masculino,soltero,7.569817401755929,10.0,6.575825330800997,6.186537139073504,7.452933989500141,8.565674930474424,6.35354054143391,7.840485762257123
19,25,2024-10-20 15:45:12.916503,19,masculino,union libre,6.018607020246095,7.825328012034676,6.10814258988726,4.873198196349847,5.334231858100911,6.27476847867992,6.037279295227134,5.665540761728766
20,7,2024-09-05 15:45:12.916507,41,masculino,casado,6.860772122377148,6.888131295566891,7.2762234979029845,6.176867673070896,8.598809710043943,6.840890512088283,3.7505865536757934,6.996190955088611
21,24,2024-10-14 15:45:12.916511,61,femenino,divorciado,5.154479546059816,7.062520360710335,2.817503411483823,3.3552693698907783,6.230287091597578,5.795383395469052,6.503805236065396,4.401676271702137
